course_code,term,term_idx,avg_score,pass_rate,so1_attainment,so2_attainment,so3_attainment,so4_attainment,so5_attainment,so6_attainment,so7_attainment,composite_so_index,trend_value,current_term_failed,next_term_risk
AIE1019,2022S,5,70.53,83.64,,69.27,71.64,,71.94,,,70.95,1.76,0,0
AIE1019,2022F,6,69.51,88.46,,66.78,66.9,,69.14,,,67.61,-3.34,0,0
AIE1019,2023S,7,67.91,86.11,,68.35,67.67,,69.54,,,68.52,0.91,0,0
AIE1019,2023F,8,67.31,75.0,,67.6,68.89,,70.25,,,68.91,0.39,0,0
AIE1020,2019F,0,79.16,98.48,77.82,,,,,,,77.82,0.0,0,0
AIE1020,2020S,1,82.93,100.0,82.0,,,,,,,82.0,4.18,0,1
AIE1020,2020F,2,79.79,92.98,77.06,,,,,,,77.06,-4.94,1,0
AIE1020,2021S,3,75.77,90.0,77.31,,,,,,,77.31,0.25,0,0
AIE1020,2021F,4,81.24,100.0,82.34,,,,,,,82.34,5.02,0,0
AIE1020,2022S,5,78.29,98.68,79.66,,,,,,,79.66,-2.67,0,0
AIE1020,2022F,6,78.64,96.0,76.39,,,,,,,76.39,-3.28,0,0
AIE1020,2023S,7,80.49,100.0,77.51,,,,,,,77.51,1.12,0,0
AIE1020,2023F,8,83.68,96.67,84.67,,,,,,,84.67,7.16,0,0
AIE1028,2019F,0,77.38,93.02,,79.78,80.38,,77.89,,,79.35,0.0,0,0
AIE1028,2020S,1,77.86,97.44,,78.65,79.06,,80.79,,,79.5,0.15,0,1
AIE1028,2020F,2,76.51,95.24,,73.51,75.53,,73.63,,,74.23,-5.28,1,0
AIE1028,2021S,3,76.49,96.97,,75.18,73.81,,79.25,,,76.08,1.85,0,0
AIE1028,2021F,4,77.14,89.66,,75.14,79.18,,74.72,,,76.35,0.27,0,0
AIE1028,2022S,5,76.21,96.67,,79.07,76.33,,74.06,,,76.49,0.14,0,0
AIE1028,2022F,6,78.86,97.3,,79.91,78.32,,80.64,,,79.62,3.13,0,0
AIE1028,2023S,7,78.16,98.21,,75.51,76.8,,80.01,,,77.44,-2.18,0,0
AIE1028,2023F,8,80.75,94.59,,80.32,81.68,,83.42,,,81.81,4.37,0,0
AIE1034,2019F,0,73.54,94.29,72.64,,,74.81,,,,73.73,0.0,0,0
AIE1034,2020S,1,71.89,84.44,70.01,,,74.12,,,,72.07,-1.66,0,0
AIE1034,2020F,2,70.44,80.28,68.99,,,67.73,,,,68.36,-3.71,0,0
AIE1034,2021S,3,66.07,70.18,67.1,,,67.08,,,,67.09,-1.27,0,0
AIE1034,2021F,4,69.48,85.71,70.99,,,71.39,,,,71.19,4.1,0,1
AIE1034,2022S,5,62.0,55.0,62.56,,,64.25,,,,63.4,-7.79,1,1
AIE1034,2022F,6,63.54,74.42,61.33,,,65.75,,,,63.54,0.14,1,1
AIE1034,2023S,7,60.69,52.0,59.14,,,63.1,,,,61.12,-2.42,1,1
AIE1034,2023F,8,59.68,40.0,60.07,,,58.36,,,,59.21,-1.9,1,1
AIE1036,2019F,0,73.53,93.33,76.07,,,,,,,76.07,0.0,0,0
AIE1036,2020S,1,71.03,91.78,72.76,,,,,,,72.76,-3.31,0,0
AIE1036,2020F,2,70.39,88.46,72.51,,,,,,,72.51,-0.25,0,0
AIE1036,2021S,3,69.11,83.05,71.66,,,,,,,71.66,-0.85,0,1
AIE1036,2021F,4,66.89,80.0,65.48,,,,,,,65.48,-6.18,1,0
AIE1036,2022S,5,65.25,77.5,67.02,,,,,,,67.02,1.54,0,1
AIE1036,2022F,6,61.98,56.6,59.21,,,,,,,59.21,-7.81,1,1
AIE1036,2023S,7,57.92,47.06,60.52,,,,,,,60.52,1.31,1,1
AIE1036,2023F,8,55.86,28.26,54.64,,,,,,,54.64,-5.88,1,1
AIE1038,2019F,0,84.69,98.28,,84.15,82.8,,87.25,,,84.73,0.0,0,0
AIE1038,2020S,1,83.46,95.45,,80.53,84.42,,80.74,,,81.9,-2.83,0,0
AIE1038,2020F,2,83.91,97.96,,85.73,83.91,,83.29,,,84.31,2.42,0,0
AIE1038,2021S,3,82.47,94.12,,79.73,85.12,,85.33,,,83.39,-0.92,0,0
AIE1038,2021F,4,85.19,100.0,,85.12,84.7,,84.51,,,84.78,1.38,0,0
AIE1038,2022S,5,80.93,96.97,,83.52,80.76,,82.62,,,82.3,-2.48,0,0
AIE1038,2022F,6,84.28,100.0,,87.11,85.13,,84.71,,,85.65,3.35,0,0
AIE1038,2023S,7,82.34,96.77,,84.68,84.28,,84.41,,,84.46,-1.2,0,0
AIE1038,2023F,8,84.29,100.0,,82.0,84.74,,81.41,,,82.72,-1.74,0,0
AIE1041,2019F,0,82.12,95.83,82.48,,,,,,,82.48,0.0,0,0
AIE1041,2020S,1,80.56,100.0,78.66,,,,,,,78.66,-3.82,0,0
AIE1041,2020F,2,78.3,93.02,77.26,,,,,,,77.26,-1.4,0,0
AIE1041,2021S,3,81.53,98.41,80.89,,,,,,,80.89,3.63,0,0
AIE1041,2021F,4,82.75,95.74,81.46,,,,,,,81.46,0.57,0,0
AIE1041,2022S,5,83.39,98.28,82.2,,,,,,,82.2,0.74,0,0
AIE1041,2022F,6,83.25,98.51,82.92,,,,,,,82.92,0.72,0,0
AIE1041,2023S,7,82.05,100.0,80.21,,,,,,,80.21,-2.71,0,0
AIE1041,2023F,8,83.52,100.0,86.51,,,,,,,86.51,6.3,0,0
AIE1043,2019F,0,81.66,100.0,82.02,82.97,82.26,,84.27,,,82.88,0.0,0,0
AIE1043,2020S,1,80.53,97.62,78.37,80.79,78.22,,83.05,,,80.1,-2.78,0,0
AIE1043,2020F,2,84.12,98.31,84.12,85.03,81.61,,85.41,,,84.04,3.94,0,0
AIE1043,2021S,3,83.26,100.0,86.11,84.57,80.56,,83.86,,,83.78,-0.27,0,0
AIE1043,2021F,4,83.76,100.0,83.67,83.44,82.76,,85.65,,,83.88,0.1,0,0
AIE1043,2022S,5,81.94,100.0,80.07,82.58,80.32,,82.31,,,81.32,-2.56,0,0
AIE1043,2022F,6,83.86,100.0,83.2,82.31,85.8,,84.16,,,83.87,2.55,0,0
AIE1043,2023S,7,86.16,100.0,83.22,86.24,85.31,,86.27,,,85.26,1.39,0,0
AIE1043,2023F,8,82.9,100.0,82.62,85.79,80.73,,82.89,,,83.01,-2.25,0,0
AIE1045,2019F,0,74.94,98.59,,76.05,72.77,,72.51,,,73.78,0.0,0,0
AIE1045,2020S,1,72.77,90.32,,74.81,71.71,,71.44,,,72.65,-1.12,0,0
AIE1045,2020F,2,71.3,87.5,,68.31,71.23,,74.28,,,71.27,-1.38,0,0
AIE1045,2021S,3,71.3,78.69,,68.63,68.77,,71.16,,,69.52,-1.75,0,0
AIE1045,2021F,4,68.37,82.89,,67.09,68.22,,67.95,,,67.75,-1.77,0,0
AIE1045,2022S,5,67.53,75.0,,70.26,67.09,,65.97,,,67.78,0.02,0,0
AIE1045,2022F,6,65.04,78.72,,66.7,63.36,,68.02,,,66.03,-1.75,0,1
AIE1045,2023S,7,63.2,63.16,,65.79,61.59,,61.51,,,62.97,-3.06,1,1
AIE1045,2023F,8,62.16,57.78,,64.5,61.77,,61.84,,,62.71,-0.26,1,1
AIE1046,2019F,0,81.94,98.04,82.55,,,,,,,82.55,0.0,0,1
AIE1046,2020S,1,77.76,94.74,76.39,,,,,,,76.39,-6.17,1,0
AIE1046,2020F,2,77.41,100.0,79.68,,,,,,,79.68,3.3,0,0
AIE1046,2021S,3,76.62,94.34,79.27,,,,,,,79.27,-0.42,0,0
AIE1046,2021F,4,76.04,90.91,76.74,,,,,,,76.74,-2.52,0,0
AIE1046,2022S,5,77.75,98.44,75.47,,,,,,,75.47,-1.28,0,0
AIE1046,2022F,6,76.86,92.41,75.84,,,,,,,75.84,0.37,0,0
AIE1046,2023S,7,77.57,93.94,77.31,,,,,,,77.31,1.47,0,0
AIE1046,2023F,8,80.27,98.68,83.11,,,,,,,83.11,5.8,0,1
AIE1048,2019F,0,73.57,89.33,,,73.98,,74.39,,,74.19,0.0,0,0
AIE1048,2020S,1,71.09,88.41,,,71.56,,73.03,,,72.29,-1.89,0,0
AIE1048,2020F,2,70.61,87.67,,,70.98,,71.39,,,71.19,-1.11,0,0
AIE1048,2021S,3,71.21,91.49,,,72.18,,69.53,,,70.86,-0.33,0,1
AIE1048,2021F,4,64.24,69.23,,,63.24,,62.38,,,62.81,-8.05,1,1
AIE1048,2022S,5,62.02,55.88,,,64.31,,64.19,,,64.25,1.44,1,1
AIE1048,2022F,6,64.15,67.12,,,61.17,,61.41,,,61.29,-2.95,1,1
AIE1048,2023S,7,61.66,68.42,,,60.82,,64.59,,,62.7,1.41,1,1
AIE1048,2023F,8,59.5,45.31,,,59.96,,60.02,,,59.99,-2.71,1,1
AIE1051,2019F,0,83.1,100.0,,84.24,84.21,,85.75,,,84.73,0.0,0,1
AIE1051,2020S,1,79.67,100.0,,77.52,80.52,,82.09,,,80.04,-4.69,1,0
AIE1051,2020F,2,79.3,97.87,,77.96,77.0,,78.28,,,77.75,-2.3,0,0
AIE1051,2021S,3,79.51,100.0,,81.4,79.04,,79.75,,,80.06,2.32,0,0
AIE1051,2021F,4,79.26,93.94,,79.85,81.58,,76.47,,,79.3,-0.76,0,0
AIE1051,2022S,5,80.06,96.3,,80.06,81.45,,78.04,,,79.85,0.55,0,0
AIE1051,2022F,6,82.25,100.0,,82.3,84.99,,84.98,,,84.09,4.24,0,1
AIE1051,2023S,7,79.67,100.0,,80.72,80.2,,79.04,,,79.99,-4.11,1,0
AIE1051,2023F,8,78.81,97.14,,77.9,81.63,,81.57,,,80.37,0.38,0,1
AIE1052,2019F,0,83.98,100.0,82.26,,,,,,,82.26,0.0,0,0
AIE1052,2020S,1,83.35,100.0,84.7,,,,,,,84.7,2.44,0,0
AIE1052,2020F,2,83.68,100.0,84.68,,,,,,,84.68,-0.02,0,0
AIE1052,2021S,3,84.74,100.0,84.95,,,,,,,84.95,0.28,0,1
AIE1052,2021F,4,82.06,100.0,80.25,,,,,,,80.25,-4.7,1,0
AIE1052,2022S,5,84.04,100.0,85.33,,,,,,,85.33,5.08,0,0
AIE1052,2022F,6,83.0,100.0,83.3,,,,,,,83.3,-2.03,0,0
AIE1052,2023S,7,80.51,97.5,83.22,,,,,,,83.22,-0.08,0,0
AIE1052,2023F,8,84.22,98.31,81.5,,,,,,,81.5,-1.72,0,0
AIE1053,2019F,0,75.98,96.88,73.38,,,,,,,73.38,0.0,0,0
AIE1053,2020S,1,72.08,93.75,71.15,,,,,,,71.15,-2.22,0,0
AIE1053,2020F,2,71.77,90.16,69.27,,,,,,,69.27,-1.89,0,0
AIE1053,2021S,3,71.33,87.14,68.56,,,,,,,68.56,-0.71,0,0
AIE1053,2021F,4,66.72,84.51,67.61,,,,,,,67.61,-0.95,0,0
AIE1053,2022S,5,64.0,70.89,66.55,,,,,,,66.55,-1.06,0,1
AIE1053,2022F,6,60.64,55.84,57.65,,,,,,,57.65,-8.9,1,1
AIE1053,2023S,7,59.92,41.94,59.52,,,,,,,59.52,1.87,1,1
AIE1053,2023F,8,59.03,45.28,58.34,,,,,,,58.34,-1.18,1,1
AIE1057,2019F,0,82.74,100.0,79.82,,,,,,,79.82,0.0,0,0
AIE1057,2020S,1,84.41,100.0,86.74,,,,,,,86.74,6.91,0,1
AIE1057,2020F,2,84.82,100.0,82.55,,,,,,,82.55,-4.19,1,0
AIE1057,2021S,3,82.15,100.0,82.63,,,,,,,82.63,0.08,0,0
AIE1057,2021F,4,82.69,100.0,82.11,,,,,,,82.11,-0.53,0,0
AIE1057,2022S,5,82.23,98.15,83.61,,,,,,,83.61,1.5,0,0
AIE1057,2022F,6,86.15,97.5,87.52,,,,,,,87.52,3.91,0,1
AIE1057,2023S,7,80.77,97.26,77.93,,,,,,,77.93,-9.58,1,0
AIE1057,2023F,8,79.65,100.0,80.83,,,,,,,80.83,2.9,0,0
AIE1058,2019F,0,81.14,98.53,,80.06,82.13,,80.84,,,81.01,0.0,0,0
AIE1058,2020S,1,83.62,100.0,,85.37,84.77,,83.51,,,84.55,3.54,0,0
AIE1058,2020F,2,81.73,100.0,,81.2,83.12,,80.64,,,81.65,-2.9,0,0
AIE1058,2021S,3,80.01,97.78,,82.42,78.42,,81.7,,,80.85,-0.8,0,0
AIE1058,2021F,4,80.06,96.2,,81.04,77.62,,78.75,,,79.14,-1.71,0,0
AIE1058,2022S,5,79.93,98.39,,77.24,78.95,,79.35,,,78.52,-0.62,0,0
AIE1058,2022F,6,80.34,96.23,,81.8,79.76,,78.91,,,80.16,1.64,0,0
AIE1058,2023S,7,79.68,100.0,,77.49,82.31,,82.65,,,80.82,0.66,0,0
AIE1058,2023F,8,79.39,100.0,,79.75,79.02,,79.47,,,79.42,-1.4,0,0
AIE1059,2019F,0,84.21,100.0,85.15,,,,,,,85.15,0.0,0,0
AIE1059,2020S,1,82.39,98.36,81.78,,,,,,,81.78,-3.36,0,0
AIE1059,2020F,2,82.79,100.0,83.01,,,,,,,83.01,1.23,0,0
AIE1059,2021S,3,80.88,98.28,81.47,,,,,,,81.47,-1.54,0,0
AIE1059,2021F,4,81.19,100.0,82.22,,,,,,,82.22,0.75,0,0
AIE1059,2022S,5,82.57,100.0,80.7,,,,,,,80.7,-1.52,0,0
AIE1059,2022F,6,81.82,100.0,80.51,,,,,,,80.51,-0.19,0,0
AIE1059,2023S,7,81.49,100.0,81.87,,,,,,,81.87,1.36,0,1
AIE1059,2023F,8,79.67,94.92,76.69,,,,,,,76.69,-5.18,1,0
AIE1060,2019F,0,82.52,100.0,84.05,,,,,,,84.05,0.0,0,0
AIE1060,2020S,1,83.43,98.57,82.32,,,,,,,82.32,-1.72,0,0
AIE1060,2020F,2,85.57,100.0,85.1,,,,,,,85.1,2.78,0,0
AIE1060,2021S,3,84.78,100.0,87.6,,,,,,,87.6,2.49,0,0
AIE1060,2021F,4,83.01,100.0,83.8,,,,,,,83.8,-3.8,0,1
AIE1060,2022S,5,81.3,96.61,79.37,,,,,,,79.37,-4.42,1,0
AIE1060,2022F,6,79.65,92.5,80.01,,,,,,,80.01,0.63,0,0
AIE1060,2023S,7,82.89,100.0,81.37,,,,,,,81.37,1.37,0,0
AIE1060,2023F,8,84.36,100.0,83.9,,,,,,,83.9,2.53,0,1
AIE1061,2019F,0,80.78,100.0,,81.44,79.78,,79.38,,,80.2,0.0,0,0
AIE1061,2020S,1,79.5,100.0,,79.59,76.97,,79.35,,,78.64,-1.56,0,0
AIE1061,2020F,2,81.85,100.0,,79.48,79.32,,79.75,,,79.52,0.88,0,0
AIE1061,2021S,3,80.83,100.0,,79.71,78.98,,79.71,,,79.46,-0.05,0,0
AIE1061,2021F,4,79.71,97.14,,82.34,78.49,,79.56,,,80.13,0.67,0,0
AIE1061,2022S,5,78.54,97.14,,77.61,80.55,,77.21,,,78.46,-1.67,0,0
AIE1061,2022F,6,77.37,95.12,,79.98,79.53,,80.12,,,79.88,1.42,0,0
AIE1061,2023S,7,79.25,96.43,,80.73,80.78,,81.02,,,80.84,0.97,0,0
AIE1061,2023F,8,80.19,98.18,,79.48,81.33,,78.35,,,79.72,-1.12,0,0
AIE1065,2019F,0,75.87,94.67,74.73,,,,,,,74.73,0.0,0,0
AIE1065,2020S,1,70.34,77.42,71.96,,,,,,,71.96,-2.77,0,0
AIE1065,2020F,2,70.96,83.78,68.12,,,,,,,68.12,-3.84,0,0
AIE1065,2021S,3,70.18,86.21,71.17,,,,,,,71.17,3.05,0,1
AIE1065,2021F,4,68.29,75.38,66.29,,,,,,,66.29,-4.88,1,0
AIE1065,2022S,5,68.32,88.24,68.54,,,,,,,68.54,2.25,0,1
AIE1065,2022F,6,63.2,63.08,61.17,,,,,,,61.17,-7.37,1,1
AIE1065,2023S,7,64.05,66.67,61.83,,,,,,,61.83,0.66,1,1
AIE1065,2023F,8,61.53,61.4,63.65,,,,,,,63.65,1.83,1,1
AIE1066,2019F,0,82.39,100.0,80.36,,,,,,,80.36,0.0,0,0
AIE1066,2020S,1,80.35,93.48,78.3,,,,,,,78.3,-2.06,0,0
AIE1066,2020F,2,81.44,100.0,82.79,,,,,,,82.79,4.49,0,0
AIE1066,2021S,3,82.23,97.5,81.27,,,,,,,81.27,-1.52,0,0
AIE1066,2021F,4,77.0,97.37,79.61,,,,,,,79.61,-1.67,0,0
AIE1066,2022S,5,80.64,96.88,79.33,,,,,,,79.33,-0.28,0,0
AIE1066,2022F,6,79.08,100.0,78.88,,,,,,,78.88,-0.45,0,0
AIE1066,2023S,7,84.13,100.0,82.42,,,,,,,82.42,3.54,0,0
AIE1066,2023F,8,80.76,98.31,81.28,,,,,,,81.28,-1.14,0,0
AIE1069,2019F,0,82.45,100.0,79.58,,,,,,,79.58,0.0,0,0
AIE1069,2020S,1,82.5,97.5,82.38,,,,,,,82.38,2.8,0,0
AIE1069,2020F,2,81.73,100.0,83.76,,,,,,,83.76,1.38,0,0
AIE1069,2021S,3,81.51,95.16,83.91,,,,,,,83.91,0.16,0,0
AIE1069,2021F,4,82.89,95.95,84.74,,,,,,,84.74,0.83,0,0
AIE1069,2022S,5,82.13,97.5,81.72,,,,,,,81.72,-3.02,0,1
AIE1069,2022F,6,78.43,100.0,77.23,,,,,,,77.23,-4.5,1,0
AIE1069,2023S,7,80.48,100.0,80.32,,,,,,,80.32,3.1,0,0
AIE1069,2023F,8,79.65,100.0,79.86,,,,,,,79.86,-0.47,0,0
AIE1072,2019F,0,78.4,96.72,,,78.21,,75.71,,,76.96,0.0,0,0
AIE1072,2020S,1,73.79,90.91,,,75.26,,74.66,,,74.96,-2.0,0,0
AIE1072,2020F,2,73.49,90.91,,,71.83,,72.9,,,72.37,-2.59,0,0
AIE1072,2021S,3,68.94,82.86,,,67.01,,71.54,,,69.27,-3.09,0,0
AIE1072,2021F,4,68.51,75.64,,,67.74,,69.3,,,68.52,-0.75,0,0
AIE1072,2022S,5,69.06,75.0,,,68.66,,69.93,,,69.3,0.78,0,0
AIE1072,2022F,6,65.83,73.61,,,66.83,,66.72,,,66.77,-2.52,0,1
AIE1072,2023S,7,61.85,64.86,,,60.67,,59.23,,,59.95,-6.82,1,1
AIE1072,2023F,8,62.71,62.16,,,63.89,,64.77,,,64.33,4.38,1,1
AIE1075,2019F,0,87.34,100.0,88.79,89.13,88.11,,84.39,,,87.6,0.0,0,0
AIE1075,2020S,1,85.32,98.67,85.91,82.68,83.75,,86.09,,,84.61,-3.0,0,0
AIE1075,2020F,2,83.18,96.77,84.61,80.9,84.83,,83.12,,,83.37,-1.24,0,0
AIE1075,2021S,3,80.91,100.0,78.42,81.18,83.42,,79.87,,,80.72,-2.64,0,0
AIE1075,2021F,4,84.65,100.0,82.24,84.43,86.07,,82.34,,,83.77,3.05,0,0
AIE1075,2022S,5,81.39,96.77,79.15,79.99,81.41,,81.09,,,80.41,-3.36,0,0
AIE1075,2022F,6,83.26,100.0,84.22,81.79,80.38,,85.04,,,82.86,2.45,0,0
AIE1075,2023S,7,82.31,98.53,80.41,82.29,81.78,,81.98,,,81.62,-1.24,0,0
AIE1075,2023F,8,80.91,95.31,83.78,81.31,83.81,,79.71,,,82.15,0.54,0,0
AIE1078,2019F,0,80.9,93.33,,79.63,,,79.33,,,79.48,0.0,0,0
AIE1078,2020S,1,79.63,100.0,,80.16,,,81.86,,,81.01,1.53,0,0
AIE1078,2020F,2,78.84,96.61,,78.11,,,80.35,,,79.23,-1.77,0,0
AIE1078,2021S,3,81.17,98.67,,84.14,,,78.46,,,81.3,2.07,0,0
AIE1078,2021F,4,81.8,100.0,,81.88,,,83.08,,,82.48,1.18,0,0
AIE1078,2022S,5,79.9,100.0,,77.4,,,82.11,,,79.75,-2.73,0,0
AIE1078,2022F,6,80.31,98.04,,78.88,,,79.32,,,79.1,-0.65,0,0
AIE1078,2023S,7,81.82,97.37,,83.34,,,84.51,,,83.92,4.82,0,1
AIE1078,2023F,8,79.4,98.44,,81.72,,,77.54,,,79.63,-4.29,1,0
AIE1083,2019F,0,83.66,100.0,,86.04,86.19,,85.01,,,85.74,0.0,0,1
AIE1083,2020S,1,80.61,98.28,,83.39,78.65,,82.55,,,81.53,-4.21,1,0
AIE1083,2020F,2,83.38,98.61,,86.04,81.69,,86.15,,,84.63,3.1,0,1
AIE1083,2021S,3,80.85,100.0,,79.13,81.52,,80.25,,,80.3,-4.32,1,0
AIE1083,2021F,4,82.37,100.0,,85.05,81.43,,80.64,,,82.38,2.07,0,0
AIE1083,2022S,5,80.49,98.72,,81.33,81.44,,83.2,,,81.99,-0.39,0,0
AIE1083,2022F,6,81.07,100.0,,78.57,81.45,,83.11,,,81.05,-0.95,0,0
AIE1083,2023S,7,81.45,100.0,,79.87,78.53,,81.45,,,79.95,-1.09,0,0
AIE1083,2023F,8,82.69,100.0,,79.92,79.76,,82.75,,,80.81,0.86,0,0
AIE1086,2019F,0,83.4,100.0,86.07,,,,,,,86.07,0.0,0,0
AIE1086,2020S,1,82.31,98.0,83.45,,,,,,,83.45,-2.61,0,0
AIE1086,2020F,2,82.7,100.0,81.89,,,,,,,81.89,-1.56,0,0
AIE1086,2021S,3,82.4,100.0,83.79,,,,,,,83.79,1.9,0,0
AIE1086,2021F,4,81.24,98.04,83.74,,,,,,,83.74,-0.05,0,1
AIE1086,2022S,5,81.02,100.0,79.54,,,,,,,79.54,-4.2,1,0
